Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
2565,208020,Leffe (belgian blonde ale),11,1,1,85.7143,TRUE,1429276,2012-07-11 23:22:19 UTC,2012-07-13 01:18:33 UTC,TRUE,10,6,NA
2565,207874,"Stone ""Arrogant Bastard"" Ale",88,15,2,84.7619,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 04:32:05 UTC,TRUE,55,55,NA
2565,207946,Lagunitas Undercover Investigation Shut-Down Ale,91,20,4,81.4159,TRUE,1428029,2012-07-10 19:58:14 UTC,2012-07-13 01:19:21 UTC,TRUE,56,63,NA
2565,207945,Anything Flying Dog,70,20,4,77.1739,TRUE,1428029,2012-07-10 19:57:30 UTC,2012-07-14 00:34:18 UTC,TRUE,55,45,NA
2565,207877,"Stone ""Ruination"" IPA",79,24,3,76.1905,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:19:50 UTC,TRUE,57,57,NA
2565,207987,Old Rasputin- Imperial Stout,18,5,1,76.0,TRUE,1428482,2012-07-11 07:13:22 UTC,2012-07-13 01:18:22 UTC,TRUE,14,15,NA
2565,207869,"Bear Republic ""Racer 5"" IPA",101,36,3,73.3813,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:19:47 UTC,TRUE,74,73,NA
2565,207871,"New Belgium ""Fat Tire""",75,34,0,68.4685,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:18:27 UTC,TRUE,69,52,NA
2565,207884,Something local and microbrewey,76,46,3,62.0968,FALSE,1427790,2012-07-10 17:05:10 UTC,2012-07-12 04:32:08 UTC,TRUE,69,66,NA
2565,207883,Something with a high alcohol content,64,40,3,61.3208,FALSE,1427790,2012-07-10 17:04:53 UTC,2012-07-13 01:19:58 UTC,TRUE,55,65,NA
2565,207878,An IPA of any sort,64,42,7,60.1852,FALSE,1427790,2012-07-10 17:03:30 UTC,2012-07-13 01:17:54 UTC,TRUE,64,62,NA
2565,207870,"New Belgium ""Mothership""",76,52,5,59.2308,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:19:38 UTC,TRUE,67,71,NA
2565,207885,An ale of any sort,64,47,1,57.5221,FALSE,1427790,2012-07-10 17:05:35 UTC,2012-07-13 01:19:47 UTC,TRUE,60,64,NA
2565,207868,Sierra Nevada Pale Ale,67,58,1,53.5433,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:19:50 UTC,TRUE,66,75,NA
2565,207873,"Sierra Nevada ""Summerfest""",60,54,2,52.5862,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:19:54 UTC,TRUE,68,64,NA
2565,207872,"New Belgium ""1554""",64,60,4,51.5873,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-12 04:32:29 UTC,TRUE,61,74,NA
2565,207876,PBR,42,74,7,36.4407,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:20:00 UTC,TRUE,67,67,NA
2565,207888,Stellaaaaaa,39,76,3,34.188,FALSE,1427790,2012-07-10 17:10:57 UTC,2012-07-13 01:19:41 UTC,TRUE,60,65,NA
2565,207978,a barrel of red wine,15,30,3,34.0426,TRUE,1428219,2012-07-10 22:52:24 UTC,2012-07-13 01:19:58 UTC,TRUE,25,25,NA
2565,207881,A porter of any sort,44,88,7,33.5821,FALSE,1427790,2012-07-10 17:04:13 UTC,2012-07-13 01:18:37 UTC,TRUE,77,74,NA
2565,207886,Kingman homebrew :),40,86,4,32.0312,FALSE,1427790,2012-07-10 17:09:15 UTC,2012-07-14 00:34:14 UTC,TRUE,77,62,NA
2565,207880,A stout of any sort,35,81,2,30.5085,FALSE,1427790,2012-07-10 17:04:03 UTC,2012-07-13 04:32:05 UTC,TRUE,62,66,NA
2565,207882,Something dark and chocolatey,31,74,8,29.9065,FALSE,1427790,2012-07-10 17:04:26 UTC,2012-07-13 01:19:54 UTC,TRUE,63,63,NA
2565,207943,BLUE MOON,30,86,11,26.2712,TRUE,1427981,2012-07-10 19:26:50 UTC,2012-07-13 01:17:54 UTC,TRUE,60,71,NA
2565,207887,Everclear.,23,82,11,22.4299,FALSE,1427790,2012-07-10 17:09:23 UTC,2012-07-13 01:20:00 UTC,TRUE,62,64,NA
2565,207879,Blue Moon,27,97,12,22.2222,FALSE,1427790,2012-07-10 17:03:42 UTC,2012-07-14 00:34:18 UTC,TRUE,69,72,NA
2565,207875,Guinness,21,87,12,20.0,FALSE,1427790,2012-07-10 17:00:42 UTC,2012-07-13 01:19:43 UTC,TRUE,72,58,NA
