Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
3833171,1427790,2565,207870,"New Belgium ""Mothership""",207873,"Sierra Nevada ""Summerfest""",10734722,5595219,207870,207873,2012-07-10 17:08:10 UTC,2012-07-10 17:08:10 UTC,4.386,"",TRUE,749d8459047a7c024738d643524b889a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",http://www.allourideas.org/kingmanbeer/admin,FALSE,NA
3833258,1427821,2565,207879,Blue Moon,207888,Stellaaaaaa,10735150,5595496,207879,207888,2012-07-10 17:18:14 UTC,2012-07-10 17:18:14 UTC,6.659,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833259,1427820,2565,207887,Everclear.,207870,"New Belgium ""Mothership""",10735149,5595493,207887,207870,2012-07-10 17:18:14 UTC,2012-07-10 17:18:14 UTC,19.699,"",TRUE,f933c71f15dfb64842fd9832e3734ad4,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24",DIRECT_VISIT,FALSE,NA
3833261,1427820,2565,207879,Blue Moon,207872,"New Belgium ""1554""",10735006,5595500,207872,207879,2012-07-10 17:18:20 UTC,2012-07-10 17:18:20 UTC,5.081,"",TRUE,f933c71f15dfb64842fd9832e3734ad4,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24",DIRECT_VISIT,FALSE,NA
3833262,1427821,2565,207877,"Stone ""Ruination"" IPA",207888,Stellaaaaaa,10735151,5595499,207877,207888,2012-07-10 17:18:21 UTC,2012-07-10 17:18:21 UTC,6.894,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833264,1427821,2565,207884,Something local and microbrewey,207878,An IPA of any sort,10734997,5595503,207884,207878,2012-07-10 17:18:27 UTC,2012-07-10 17:18:27 UTC,4.596,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833265,1427821,2565,207868,Sierra Nevada Pale Ale,207876,PBR,10734804,5595505,207876,207868,2012-07-10 17:18:33 UTC,2012-07-10 17:18:33 UTC,5.574,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833266,1427821,2565,207874,"Stone ""Arrogant Bastard"" Ale",207873,"Sierra Nevada ""Summerfest""",10734811,5595507,207873,207874,2012-07-10 17:18:38 UTC,2012-07-10 17:18:38 UTC,3.893,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833269,1427821,2565,207875,Guinness,207876,PBR,10734769,5595508,207875,207876,2012-07-10 17:18:43 UTC,2012-07-10 17:18:43 UTC,3.864,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833270,1427821,2565,207868,Sierra Nevada Pale Ale,207888,Stellaaaaaa,10735152,5595511,207888,207868,2012-07-10 17:18:46 UTC,2012-07-10 17:18:46 UTC,2.723,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833273,1427821,2565,207882,Something dark and chocolatey,207876,PBR,10734965,5595512,207882,207876,2012-07-10 17:18:51 UTC,2012-07-10 17:18:51 UTC,4.454,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833276,1427821,2565,207884,Something local and microbrewey,207872,"New Belgium ""1554""",10735004,5595516,207884,207872,2012-07-10 17:19:03 UTC,2012-07-10 17:19:03 UTC,10.625,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833277,1427821,2565,207869,"Bear Republic ""Racer 5"" IPA",207879,Blue Moon,10734978,5595519,207879,207869,2012-07-10 17:19:08 UTC,2012-07-10 17:19:08 UTC,3.814,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833279,1427821,2565,207872,"New Belgium ""1554""",207888,Stellaaaaaa,10735153,5595520,207888,207872,2012-07-10 17:19:11 UTC,2012-07-10 17:19:11 UTC,1.918,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833281,1427821,2565,207869,"Bear Republic ""Racer 5"" IPA",207880,A stout of any sort,10735062,5595522,207869,207880,2012-07-10 17:19:15 UTC,2012-07-10 17:19:15 UTC,3.022,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833283,1427821,2565,207869,"Bear Republic ""Racer 5"" IPA",207873,"Sierra Nevada ""Summerfest""",10734768,5595524,207873,207869,2012-07-10 17:19:18 UTC,2012-07-10 17:19:18 UTC,2.007,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833285,1427821,2565,207877,"Stone ""Ruination"" IPA",207870,"New Belgium ""Mothership""",10734727,5595526,207877,207870,2012-07-10 17:19:21 UTC,2012-07-10 17:19:21 UTC,2.41,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
3833286,1427821,2565,207884,Something local and microbrewey,207876,PBR,10734954,5595528,207884,207876,2012-07-10 17:19:24 UTC,2012-07-10 17:19:24 UTC,2.372,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
