Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
15597134,4882379,10009,625094,Dark and Stormy,625095,Manhattan,23997697,22007381,625095,625094,2017-01-31 04:57:57 UTC,2017-01-31 04:57:57 UTC,6.62,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597135,4882379,10009,625093,Whisky Sour,625096,Screaming Orgasm,23997698,22007382,625093,625096,2017-01-31 04:58:00 UTC,2017-01-31 04:58:00 UTC,3.096,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597136,4882379,10009,625100,Gin and Tonic,625095,Manhattan,23997699,22007383,625095,625100,2017-01-31 04:58:02 UTC,2017-01-31 04:58:02 UTC,1.5,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597137,4882379,10009,625092,Old Fashioned,625093,Whisky Sour,23997700,22007384,625093,625092,2017-01-31 04:58:04 UTC,2017-01-31 04:58:04 UTC,1.742,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597138,4882379,10009,625093,Whisky Sour,625096,Screaming Orgasm,23997701,22007385,625096,625093,2017-01-31 04:58:10 UTC,2017-01-31 04:58:10 UTC,4.975,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597139,4882379,10009,625100,Gin and Tonic,625099,Martini,23997694,22007386,625100,625099,2017-01-31 04:58:12 UTC,2017-01-31 04:58:12 UTC,1.504,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597140,4882379,10009,625092,Old Fashioned,625096,Screaming Orgasm,23997702,22007387,625092,625096,2017-01-31 04:58:13 UTC,2017-01-31 04:58:13 UTC,1.296,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597141,4882379,10009,625100,Gin and Tonic,625093,Whisky Sour,23997703,22007388,625093,625100,2017-01-31 04:58:16 UTC,2017-01-31 04:58:16 UTC,2.683,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597142,4882379,10009,625092,Old Fashioned,625098,Long Island Iced Tea,23997704,22007389,625092,625098,2017-01-31 04:58:18 UTC,2017-01-31 04:58:18 UTC,1.721,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597143,4882379,10009,625094,Dark and Stormy,625098,Long Island Iced Tea,23997705,22007390,625094,625098,2017-01-31 04:58:20 UTC,2017-01-31 04:58:20 UTC,1.523,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597144,4882379,10009,625097,Cosmopolitan,625099,Martini,23997692,22007391,625099,625097,2017-01-31 04:58:25 UTC,2017-01-31 04:58:25 UTC,4.298,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597145,4882379,10009,625101,Margarita,625093,Whisky Sour,23997706,22007392,625101,625093,2017-01-31 04:58:27 UTC,2017-01-31 04:58:27 UTC,1.521,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
15597146,4882379,10009,625094,Dark and Stormy,625098,Long Island Iced Tea,23997705,22007393,625094,625098,2017-01-31 04:58:28 UTC,2017-01-31 04:58:28 UTC,1.432,"",TRUE,ed3a85e9bde09ca42fb6e212c579694d,cocktailparty2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/77.0.0.45.70;FBBV/48299134;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",http://m.facebook.com,FALSE,NA
