Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Stopped_Voting_Or_Skipping,NA,5595391,1427790,2565,207882,Something dark and chocolatey,207885,An ale of any sort,10734881,NA,2012-07-10 17:08:10 UTC,2012-07-10 17:08:10 UTC,NA,"",TRUE,749d8459047a7c024738d643524b889a,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",http://www.allourideas.org/kingmanbeer/admin,FALSE,NA
Bounce,NA,5595474,1427816,2565,207884,Something local and microbrewey,207870,"New Belgium ""Mothership""",10734953,NA,2012-07-10 17:16:24 UTC,2012-07-10 17:16:24 UTC,NA,"",TRUE,f90b190f9f23693aa5b4b9ba49698c4e,kingmanbeer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5595554,1427821,2565,207883,Something with a high alcohol content,207873,"Sierra Nevada ""Summerfest""",10734914,NA,2012-07-10 17:20:14 UTC,2012-07-10 17:20:14 UTC,NA,"",TRUE,0cdd2260af00904baedc94baa0050fd6,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5595655,1427820,2565,207872,"New Belgium ""1554""",207875,Guinness,10734734,NA,2012-07-10 17:24:27 UTC,2012-07-10 17:24:27 UTC,NA,"",TRUE,f933c71f15dfb64842fd9832e3734ad4,kingmanbeer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24",DIRECT_VISIT,FALSE,NA
Skip,460150,5595716,1427832,2565,207881,A porter of any sort,207875,Guinness,10734941,dislike_both,2012-07-10 17:27:10 UTC,2012-07-10 17:27:10 UTC,11.015,"",TRUE,66c5efe2df6c573bdca5a3da6061a40e,kingmanbeer,"Mozilla/5.0 (Linux; U; Android 2.3.4; en-us; DROID BIONIC Build/5.5.1_84_DBN-62_MR-11) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5595722,1427832,2565,207876,PBR,207872,"New Belgium ""1554""",10734798,NA,2012-07-10 17:27:13 UTC,2012-07-10 17:27:13 UTC,NA,"",TRUE,66c5efe2df6c573bdca5a3da6061a40e,kingmanbeer,"Mozilla/5.0 (Linux; U; Android 2.3.4; en-us; DROID BIONIC Build/5.5.1_84_DBN-62_MR-11) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",DIRECT_VISIT,FALSE,NA
Skip,460155,5595780,1427837,2565,207877,"Stone ""Ruination"" IPA",207887,Everclear.,10735156,dislike_both,2012-07-10 17:30:23 UTC,2012-07-10 17:30:23 UTC,9.886,"",TRUE,30b7051a71c04de302ca70134f9b3b92,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460157,5595786,1427837,2565,207887,Everclear.,207878,An IPA of any sort,10735163,dislike_both,2012-07-10 17:30:50 UTC,2012-07-10 17:30:50 UTC,4.236,"",TRUE,30b7051a71c04de302ca70134f9b3b92,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,5595815,1427837,2565,207873,"Sierra Nevada ""Summerfest""",207875,Guinness,10734793,NA,2012-07-10 17:32:02 UTC,2012-07-10 17:32:02 UTC,NA,"",TRUE,30b7051a71c04de302ca70134f9b3b92,kingmanbeer,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",DIRECT_VISIT,FALSE,NA
Skip,460166,5595827,1427844,2565,207886,Kingman homebrew :),207883,Something with a high alcohol content,10735126,dont_know_both,2012-07-10 17:34:10 UTC,2012-07-10 17:34:10 UTC,25.765,"",TRUE,5c856391c9043cb3fcfe5fd5211746d6,kingmanbeer,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",DIRECT_VISIT,FALSE,NA
